Code,Name,Officialname,Registration_number,Keph level,Facility type,Facility_type_category,Owner,Owner type,Regulatory body,Beds,Cots,Beds and Cots,County,Constituency,Sub county,Ward,Operation status,Open_whole_day,Open_public_holidays,Open_weekends,Open_late_night,Service_names,Approved,Public visible,Closed,latitude,longitude
16078,Navakholo Sub-District Hospital,Navakholo Sub-District Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,16,1,17,Kakamega,Navakholo,Navakholo,Bunyala Central,Operational,Yes,No,Yes,No,,Yes,Yes,No,0.4139,34.6826
16091,Port Victoria Hospital,Port Victoria Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,60,6,66,Busia,Budalangi,Bunyala,Bunyala West,Operational,Yes,Yes,Yes,No,,Yes,Yes,No,0.0972,33.9758
16097,Sabatia Eye Hospital Mission,Sabatia Eye Hospital Mission,,Level 4,Primary care hospitals,HOSPITALS,Christian Health Association of Kenya,Faith Based Organization,Kenya MPDB,33,0,33,Vihiga,Sabatia,Sabatia,Wodanga,Operational,No,No,No,No,,Yes,Yes,No,,
16098,Sabatia Sub County Hospital,Sabatia Sub County Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,9,1,10,Vihiga,Sabatia,Sabatia,Wodanga,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
16130,Sirisia Sub County Hospital,Sirisia Sub County Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,31,0,31,Bungoma,Sirisia,Sirisia,Malakisi/South Kulisiru,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
16138,St Damiano Mission Hospital,St Damiano Mission Hospital,,Level 4,Primary care hospitals,HOSPITALS,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,50,0,50,Bungoma,Kanduyi,Kanduyi,Khalaba,Operational,Yes,Yes,Yes,No,,Yes,Yes,No,,
16149,Tanaka Nursing Home,Tanaka Nursing Home,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,50,0,50,Busia,Matayos,Matayos,Burumba,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
16150,Teso  North Sub county Hospital,Teso North Sub County Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,57,0,57,Busia,Teso North,Teso North,Malaba South,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
16157,Vihiga County Referral Hospital,Vihiga County Referral Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,160,10,170,Vihiga,Vihiga,Vihiga,Lugaga-wamuluma,Operational,Yes,Yes,No,No,,Yes,Yes,No,,
16161,Webuye Hospital,Webuye Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,187,30,217,Bungoma,Webute West,Webuye West,Matulo,Operational,Yes,No,No,No,,Yes,Yes,No,,
16215,Catholic Hospital Laisamis,Laisamis Catholic Hospital,,Level 4,Primary care hospitals,HOSPITALS,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,45,5,50,Marsabit,Laisamis,Laisamis,Laisamis,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
16234,Miathene District Hospital,Miathene District Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,42,0,42,Meru,Tigania West,Tigania West,Kianjai,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,0.1509,37.7899
16347,Burnt Forest Sub County Hospital,Burnt Forest Sub County Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,16,8,24,Uasin Gishu,Ainabkoi,Ainabkoi,Ainabkoi/Olare,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
16364,Matunda  Sub County Hospital,Matunda Sub County Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,16,0,16,Trans Nzoia,Kiminini,Kiminini,Nabiswa,Operational,Yes,No,No,No,,Yes,Yes,No,,
16467,Mbeere District Hospital,Mbeere District Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,25,2,27,Embu,Mbeere North,Mbeere North,Nthawa,Operational,Yes,No,Yes,No,,Yes,Yes,No,-0.576883,37.6420147
16464,Ishiara Sub-District Hospital,Ishiara Sub-District Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,77,2,79,Embu,Mbeere North,Mbeere North,Evurore,Operational,Yes,No,Yes,No,,Yes,Yes,No,-0.4522,37.789
16543,Nyali Children Hospital,Nyali Children Hospital,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,32,0,32,Mombasa,Nyali,Nyali,Ziwa La Ng'ombe,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
